ID,firstName,lastName,fullName,jobTitle,department,email,phone,location,isManager,status_code,peopleLeader_ID,project_ID,createdAt,createdBy,modifiedAt,modifiedBy
52858759-85ed-4bd7-8c86-ba9e82ac7c98,firstName-5285875,lastName-5285875,fullName-5285875,jobTitle-5285875,department-5285875,email-5285875,phone-5285875,location-5285875,false,true,52858759-85ed-4bd7-8c86-ba9e82ac7c98,22523287-e923-4f7c-9094-3254059e57b9,2009-07-30T00:00:00.000Z,createdBy.35alv@example.net,2012-04-02T00:00:00.000Z,modifiedBy.35alv@example.org
5285876b-7269-4890-baa7-0e792a3256ce,firstName-5285876,lastName-5285876,fullName-5285876,jobTitle-5285876,department-5285876,email-5285876,phone-5285876,location-5285876,true,true,5285876b-7269-4890-baa7-0e792a3256ce,22523287-e923-4f7c-9094-3254059e57b9,2021-11-20T00:00:00.000Z,createdBy.35alw@example.net,2013-11-20T00:00:00.000Z,modifiedBy.35alw@example.net
52858779-3a3f-41fa-a6a7-3ebf4481af89,firstName-5285877,lastName-5285877,fullName-5285877,jobTitle-5285877,department-5285877,email-5285877,phone-5285877,location-5285877,false,true,52858779-3a3f-41fa-a6a7-3ebf4481af89,22523287-e923-4f7c-9094-3254059e57b9,2007-02-11T00:00:00.000Z,createdBy.35alx@example.net,2021-12-19T00:00:00.000Z,modifiedBy.35alx@example.net
5285878e-64d0-408d-a3c0-cf1bfab384f3,firstName-5285878,lastName-5285878,fullName-5285878,jobTitle-5285878,department-5285878,email-5285878,phone-5285878,location-5285878,true,true,5285878e-64d0-408d-a3c0-cf1bfab384f3,22523287-e923-4f7c-9094-3254059e57b9,2019-09-09T00:00:00.000Z,createdBy.35aly@example.com,2017-10-27T00:00:00.000Z,modifiedBy.35aly@example.org
52858798-57d7-4fb7-bbe3-077ffea2c42a,firstName-5285879,lastName-5285879,fullName-5285879,jobTitle-5285879,department-5285879,email-5285879,phone-5285879,location-5285879,false,true,52858798-57d7-4fb7-bbe3-077ffea2c42a,22523287-e923-4f7c-9094-3254059e57b9,2022-06-04T00:00:00.000Z,createdBy.35alz@example.org,2012-12-31T00:00:00.000Z,modifiedBy.35alz@example.com
52858802-f7c8-43c5-a189-78f91fbf1f7d,firstName-5285880,lastName-5285880,fullName-5285880,jobTitle-5285880,department-5285880,email-5285880,phone-5285880,location-5285880,true,true,52858802-f7c8-43c5-a189-78f91fbf1f7d,22523287-e923-4f7c-9094-3254059e57b9,2001-08-05T00:00:00.000Z,createdBy.35am0@example.org,2006-04-04T00:00:00.000Z,modifiedBy.35am0@example.com
52858811-1ff4-4696-8b59-86034958f33a,firstName-5285881,lastName-5285881,fullName-5285881,jobTitle-5285881,department-5285881,email-5285881,phone-5285881,location-5285881,false,true,52858811-1ff4-4696-8b59-86034958f33a,22523287-e923-4f7c-9094-3254059e57b9,2008-10-08T00:00:00.000Z,createdBy.35am1@example.org,2011-01-06T00:00:00.000Z,modifiedBy.35am1@example.net
52858828-af90-4b5d-bd16-54aebe507a54,firstName-5285882,lastName-5285882,fullName-5285882,jobTitle-5285882,department-5285882,email-5285882,phone-5285882,location-5285882,true,true,52858828-af90-4b5d-bd16-54aebe507a54,22523287-e923-4f7c-9094-3254059e57b9,2007-12-09T00:00:00.000Z,createdBy.35am2@example.net,2009-10-30T00:00:00.000Z,modifiedBy.35am2@example.net
52858836-6183-42af-8966-1b681f7e5a9f,firstName-5285883,lastName-5285883,fullName-5285883,jobTitle-5285883,department-5285883,email-5285883,phone-5285883,location-5285883,false,true,52858836-6183-42af-8966-1b681f7e5a9f,22523287-e923-4f7c-9094-3254059e57b9,2013-03-18T00:00:00.000Z,createdBy.35am3@example.com,2014-10-12T00:00:00.000Z,modifiedBy.35am3@example.net
52858845-b40b-4eaa-a280-20f6fc4688e9,firstName-5285884,lastName-5285884,fullName-5285884,jobTitle-5285884,department-5285884,email-5285884,phone-5285884,location-5285884,true,true,52858845-b40b-4eaa-a280-20f6fc4688e9,22523287-e923-4f7c-9094-3254059e57b9,2023-12-09T00:00:00.000Z,createdBy.35am4@example.com,2008-02-12T00:00:00.000Z,modifiedBy.35am4@example.org
